,ID,Name,LongName,Parent,Component,Path,Line,Column,EndLine,EndColumn,CD,CLOC,DLOC,LLOC,LOC,McCC,NII,NL,NLE,NOI,NOS,NUMPAR,TCD,TCLOC,TLLOC,TLOC,TNOS,WarningBlocker,WarningCritical,WarningInfo,WarningMajor,WarningMinor,Anti Pattern,Complexity Metric Rules,Coupling Metric Rules,Documentation Metric Rules,Size Metric Rules,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL
0,L193,run,agent_creator.CreateAgent.run~Fn,L187,L103,/content/MetaGPT/examples/agent_creator.py,36,5,45,24,0,1,0,5,10,1,0,0,0,1,4,3,0,1,5,10,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,L199,parse_code,agent_creator.CreateAgent.parse_code~Fn,L187,L103,/content/MetaGPT/examples/agent_creator.py,47,5,54,24,0,0,0,8,8,2,0,0,0,0,6,1,0,0,8,8,6,0,0,0,0,0,0,0,0,0,0,2.0,0.5,2.3774437510817346,0.0015849625007211,3,3,0.1320802083934297,4.754887502163469
2,L205,__init__,agent_creator.AgentCreator.__init__~Fn,L203,L103,/content/MetaGPT/examples/agent_creator.py,57,5,66,44,0,0,0,10,10,1,0,0,0,0,3,5,0,0,10,10,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
3,L213,_act,agent_creator.AgentCreator._act~Fn,L203,L103,/content/MetaGPT/examples/agent_creator.py,68,5,77,18,0,0,0,8,10,1,0,0,0,1,7,1,0,0,8,10,7,0,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.0006666666666666,2,2,0.0555555555555555,2.0
4,L225,__init__,build_customized_agent.SimpleWriteCode.__init__~Fn,L222,L103,/content/MetaGPT/examples/build_customized_agent.py,34,5,35,44,0,0,0,2,2,1,0,0,0,0,1,4,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
5,L232,run,build_customized_agent.SimpleWriteCode.run~Fn,L222,L103,/content/MetaGPT/examples/build_customized_agent.py,37,5,45,24,0,0,0,5,9,1,0,0,0,1,4,2,0,0,5,9,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
6,L235,parse_code,build_customized_agent.SimpleWriteCode.parse_code~Fn,L222,L103,/content/MetaGPT/examples/build_customized_agent.py,47,5,52,24,0,0,0,6,6,2,0,0,0,0,4,1,0,0,6,6,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
7,L241,__init__,build_customized_agent.SimpleRunCode.__init__~Fn,L239,L103,/content/MetaGPT/examples/build_customized_agent.py,55,5,56,44,0,0,0,2,2,1,0,0,0,0,1,4,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
8,L248,run,build_customized_agent.SimpleRunCode.run~Fn,L239,L103,/content/MetaGPT/examples/build_customized_agent.py,58,5,62,26,0,0,0,5,5,1,0,0,0,0,4,2,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
9,L253,__init__,build_customized_agent.SimpleCoder.__init__~Fn,L251,L103,/content/MetaGPT/examples/build_customized_agent.py,65,5,72,45,0,0,0,8,8,1,0,0,0,0,2,4,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
